127.0.0.1 - - [17/Aug/2021:08:40:56 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:40:57 +0700] "GET /web_ex_crud/ HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:41:00 +0700] "GET /web_ex_crud/login?username=skikes11&password=123456bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:41:19 +0700] "GET /web_ex_crud/ HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:41:20 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:42:59 +0700] "GET /web_ex_crud/login?username=skikes11&password=123456bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:42:59 +0700] "GET /web_ex_crud/listwaifu HTTP/1.1" 200 16622
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:04 +0700] "GET /web_ex_crud/listWaifu_PriceGoingDown HTTP/1.1" 200 16622
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:05 +0700] "GET /web_ex_crud/listWaifu_AgeGoingUp HTTP/1.1" 200 16622
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:06 +0700] "GET /web_ex_crud/listWaifu_AgeGoingDown HTTP/1.1" 200 16622
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:08 +0700] "GET /web_ex_crud/listWaifu_Name_A_Z HTTP/1.1" 200 16622
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:09 +0700] "GET /web_ex_crud/listWaifu_TypeLoli HTTP/1.1" 200 15732
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:10 +0700] "GET /web_ex_crud/listWaifu_PriceGoingDown_TypeLoli HTTP/1.1" 200 15732
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:11 +0700] "GET /web_ex_crud/listWaifu_AgeGoingUp_TypeLoli HTTP/1.1" 200 15732
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:12 +0700] "GET /web_ex_crud/listWaifu_AgeGoingDown_TypeLoli HTTP/1.1" 200 15732
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:14 +0700] "GET /web_ex_crud/listWaifu_TypeBB HTTP/1.1" 200 13185
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:15 +0700] "GET /web_ex_crud/listWaifu_PriceGoingDown_TypeBB HTTP/1.1" 200 13185
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:16 +0700] "GET /web_ex_crud/listWaifu_AgeGoingUp_TypeBB HTTP/1.1" 200 13185
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:17 +0700] "GET /web_ex_crud/listWaifu_AgeGoingDown_TypeBB HTTP/1.1" 200 13185
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:18 +0700] "GET /web_ex_crud/listWaifu_Name_A_Z_TypeBB HTTP/1.1" 200 13185
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:19 +0700] "GET /web_ex_crud/manage HTTP/1.1" 200 16788
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:25 +0700] "GET /web_ex_crud/FormWaifuImport HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [17/Aug/2021:08:43:41 +0700] "GET /web_ex_crud/importWaifu?wName=12312312&wAge=14&wType=13213&wPrice=31&wImage=https%3A%2F%2Fi.pinimg.com%2Foriginals%2F61%2F9e%2Fef%2F619eef57dff5c5e9dcee686d8e69374a.jpg HTTP/1.1" 302 -
